"time","diff_return_algotoria","diff_return_meritocratio","diff_return_krishna_tz","diff_return_n","diff_return_multi_knife","diff_return_low_risk","diff_return_bourbaki_pro","diff_return_syndicate","diff_return_crypto_hunter","diff_return_edan","diff_return_bourbaki_ultra","diff_return_utopia","diff_return_optimal_a","diff_return_crypto_trend_usdt","diff_return_phoenix","diff_return_trend_team"
"2025-01-04 05:00",-0.00618049,0.0,0.00220013,-0.0181226,-0.00000303,0.00174621,0.0,0.0,-0.00457464,-0.00609036,0.0,-0.00702695,-0.00075182,-0.01108828,-0.00323962,-0.00380479
"2025-01-04 06:00",0.0022806,0.0,0.00053899,0.01290455,0.0,-0.00516292,0.0,0.0,0.00062343,0.00400405,0.0,0.00520608,-0.00228199,0.00821069,0.00117314,0.00249569
"2025-01-04 07:00",0.00325069,0.0,-0.00264419,0.00214961,0.0,0.00200868,0.0,0.0,-0.00050292,0.0000887,0.0,0.00112102,0.00035682,0.00417936,0.00536852,0.00005536
"2025-01-04 08:00",0.0028969,0.0,0.00797864,0.00386369,0.0,0.00284006,0.0,0.0,0.0046449,0.00526353,0.0,-0.00050341,-0.00046814,-0.00530896,-0.00194105,0.00328575
"2025-01-04 09:00",-0.01291578,0.0,0.03553747,-0.01660678,0.00604393,-0.18313427,0.0,0.0,-0.00105324,-0.01278135,0.0,0.0,0.00000165,-0.02077987,-0.01654138,-0.00799448
"2025-01-04 10:00",0.002629,0.0,-0.03853707,-0.01245872,-0.00575754,0.21486308,0.0,0.0,-0.00441523,-0.00784243,0.0,0.0,0.00214295,0.00084144,0.00278579,-0.00482906
"2025-01-04 11:00",0.0008073,0.0,0.00066703,0.00407714,0.00010648,0.0124482,0.0,0.0,0.00004378,0.00331204,0.0,0.0,-0.00077744,0.0006043,0.00104505,0.00205537
"2025-01-04 12:00",0.00398696,0.0,-0.00643733,0.00999181,-0.00000307,-0.00917851,0.0,0.0,0.00008219,0.00317334,0.0,0.0,-0.00250399,0.01695237,0.00074367,0.00197177
"2025-01-04 13:00",0.02454552,0.0,-0.02068917,0.0141491,0.0,0.0086896,0.0,0.0,0.00073566,0.00011358,0.0,0.0,0.00283945,0.02882354,0.01250968,0.00007066
"2025-01-04 14:00",-0.00392461,0.0,-0.00050635,0.00786524,0.0,0.14140464,0.0,0.0,0.00530077,0.00307002,0.0,0.0,0.00422547,0.01049107,0.00540249,0.00190994
"2025-01-04 15:00",-0.00024828,0.0,-0.00309706,-0.00002033,0.0,-0.11629252,0.0,0.0,-0.00427158,0.00232291,0.0,0.0,0.00085351,-0.00840784,0.00329216,0.00144682
"2025-01-04 16:00",-0.02627106,-0.00002621,0.03207149,-0.02507816,0.00549935,-0.00962787,0.0,0.0,0.00327345,-0.01261465,0.0,0.0,-0.00586625,-0.04224903,-0.02754623,-0.00786387
"2025-01-04 17:00",0.0075494,0.00016649,-0.00521762,0.00453847,-0.00593535,-0.00850441,0.0,0.0,-0.00413527,0.00187581,0.0,0.0,0.00150959,0.01438547,0.0039535,0.00116376
"2025-01-04 18:00",0.00657595,-0.00000431,-0.00439974,0.01877042,0.00016454,0.00386559,0.0,0.0,0.00052865,0.01054083,0.0,0.0,-0.0012893,0.02172583,0.00706686,0.00654843
"2025-01-04 19:00",-0.00276195,0.0,0.00211011,-0.00495843,-0.00000302,-0.00406984,0.0,0.0,-0.00062778,-0.00173616,0.0,0.0,-0.00079475,-0.00803159,-0.00361207,-0.00108217
"2025-01-04 20:00",0.00353987,0.0,0.00333242,0.01008705,0.0,0.00288736,0.0,0.0,0.00049958,0.0064662,0.0,0.0,0.00325235,0.00804306,0.00224049,0.00402781
"2025-01-04 21:00",0.0202387,0.0,-0.00318872,0.03235151,0.0,0.0062663,0.0,0.0,0.00550763,0.01557597,0.0,0.0,0.00604446,0.03717725,0.01109301,0.00972587
"2025-01-04 22:00",-0.00991914,0.0,-0.00611896,-0.00709006,0.0,-0.00222631,0.0,0.0,-0.00521532,-0.00810818,0.0,0.0,-0.00421614,-0.00691498,-0.00469955,-0.0050922
"2025-01-04 23:00",0.00203304,0.0,-0.00467749,0.00140272,0.0,0.00080273,0.0,0.0,0.00026326,0.00123835,0.0,0.0,0.00056105,0.00727878,0.00374126,0.00077536
"2025-01-05 00:00",-0.00259046,0.0,-0.00005012,-0.00862109,0.0,0.00029147,0.0,0.0,-0.00033777,-0.00673153,0.0,0.0,-0.00294881,-0.00866432,-0.0019854,-0.00421675
"2025-01-05 01:00",-0.00504041,0.0,0.00792986,0.00011549,0.0,-0.00190693,0.0,0.0,0.00023838,0.00009001,0.0,0.0,0.00277275,-0.00529764,-0.00551846,0.00005624
"2025-01-05 02:00",-0.00792505,0.0,0.00893868,-0.00410982,0.0,0.00555336,0.0,0.0,0.00434083,-0.00320301,0.0,0.0,-0.00270962,-0.0177476,-0.00764114,-0.00194925
"2025-01-05 03:00",0.00431649,0.0,0.00082405,0.00477309,0.0,-0.00759664,0.0,0.0,-0.00457256,0.00371654,0.0,0.0,-0.00239813,0.01041985,0.00483585,0.00231939
"2025-01-05 04:00",-0.00110474,0.0,0.00062514,-0.00154857,0.0,-0.00103955,0.0,0.0,0.00005485,-0.00120706,0.0,0.0,0.00004916,-0.0009165,0.00072962,-0.00075434
"2025-01-05 05:00",0.00535227,0.0,-0.00284275,0.00697284,0.0,0.00102433,0.0,0.0,0.00027142,0.00543323,0.0,0.0,0.00476366,0.00953057,0.00243308,0.00339392
"2025-01-05 06:00",-0.00686391,0.0,0.01481066,-0.00053366,0.0,0.0067463,0.0,0.0,-0.00051864,-0.00041646,0.0,0.0,-0.00436067,-0.01515875,-0.00962363,-0.00026067
"2025-01-05 07:00",0.00462983,0.00010356,-0.00678535,0.00458411,0.0,-0.00679038,0.0,0.0,0.00557005,0.00357698,0.0,0.0,0.00208105,0.00815073,0.0079429,0.00223859
"2025-01-05 08:00",-0.00357871,-0.00026886,-0.00084717,-0.00810658,0.0,-0.00239521,0.0,0.0,-0.0001046,-0.00633192,0.0,0.0,0.00126247,-0.01013919,-0.00335567,-0.003968
"2025-01-05 09:00",-0.00777064,-0.00010071,-0.00153282,-0.01750693,0.0,0.00607376,0.0,0.0,-0.00049824,-0.01364995,0.0,0.0,-0.00220524,-0.02358389,-0.00726997,-0.00846891
"2025-01-05 10:00",-0.00868391,-0.00027172,0.01475922,-0.00924323,0.0,-0.00235197,0.0,0.0,-0.00568373,-0.00717867,0.0,0.0,-0.00232656,-0.02189617,-0.0109867,-0.00302858
"2025-01-05 11:00",0.00477532,-0.0000825,-0.00419848,0.0033074,0.0,0.00178103,0.0,0.1764887,0.00546281,0.00256332,0.0,0.0,0.00016732,0.00961958,0.0030325,0.00105835
"2025-01-05 12:00",-0.00067729,0.00038554,-0.00490377,-0.00376042,0.0,-0.01208561,0.0,-0.15069647,-0.00522069,-0.00291658,0.0,0.0,-0.00223458,-0.00412515,-0.00047747,-0.00120601
"2025-01-05 13:00",0.00032365,-0.00044816,0.00455648,0.00495222,0.0,-0.00387159,0.0,0.00080022,0.00030918,0.0038377,0.0,0.0,0.00030828,0.00174868,-0.00326681,0.00158418
"2025-01-05 14:00",-0.00265093,0.00090375,0.00029422,-0.00292283,0.0,0.01273448,0.0,-0.00047425,-0.00024925,-0.00226754,0.0,0.0,0.00268722,-0.00527269,-0.00458287,-0.00093813
"2025-01-05 15:00",0.01351032,0.00013857,-0.00539867,0.00699335,0.0,0.00451135,0.0,0.00113195,0.00548117,0.00542192,0.0,0.0,0.00185978,0.01360449,0.00097382,-0.002528
"2025-01-05 16:00",-0.00676397,0.00023144,0.00497313,0.00781455,0.0,-0.00135484,0.0,0.00127227,-0.00447483,0.00606805,0.0,0.0,-0.00034093,0.01069937,-0.00019444,0.00056628
"2025-01-05 17:00",-0.00156619,-0.00000403,0.00438936,0.00028453,0.0,-0.00214276,0.0,0.00004662,-0.00065268,0.00022132,0.0,0.0,-0.00014851,-0.00503764,-0.00271414,0.00002317
"2025-01-05 18:00",-0.00211491,0.0,-0.01046275,-0.01331743,0.0,0.00320238,0.0,-0.00216817,-0.00058446,-0.01035969,0.0,0.0,-0.00235893,-0.00581255,-0.00427101,-0.00107745
"2025-01-05 19:00",0.00517975,0.0,-0.00655053,0.01202566,0.0,0.01306835,0.0,0.00127914,0.00120104,0.00612092,0.0,0.0,0.00502538,0.0062027,-0.00162496,0.00063496
"2025-01-05 20:00",0.00451013,0.0,0.00753229,0.00392672,0.0,-0.00770685,0.0,0.00128545,0.00457819,0.00612151,0.0,0.0,-0.00224071,0.01075383,0.00774421,0.0006385
"2025-01-05 21:00",0.00811262,0.0,0.0038344,0.00851907,0.0,-0.0018361,0.0,0.00140497,-0.00009986,0.00665852,0.0,0.0,0.00341218,0.00297124,-0.00397769,0.262858
"2025-01-05 22:00",-0.00132239,0.0,-0.00046069,0.01008533,0.0,0.00253999,0.0,0.00166084,-0.00388227,0.00783007,0.0,0.0,0.00062166,0.01619951,0.00916666,-0.20717376
"2025-01-05 23:00",0.00464916,0.0,-0.00044629,0.00804881,0.0,0.00120284,0.0,0.00133524,0.00082301,0.00625648,0.0,0.0,0.00005355,0.00596539,0.00945601,0.24564576
"2025-01-06 00:00",-0.00506171,0.0,-0.00453276,-0.01376782,0.0,-0.00037456,0.0,-0.0023043,0.00455961,-0.01074434,0.0,0.0,0.0013745,-0.01711016,-0.00556347,-0.2011984
"2025-01-06 01:00",-0.01300852,0.00000396,0.01481324,-0.00696186,0.0,0.00551576,0.0,-0.00113256,-0.00628342,-0.00532589,0.0,0.0,-0.00674142,-0.02071307,-0.01382238,-0.00382206
"2025-01-06 02:00",0.02654994,0.00005013,-0.01226892,0.02409175,0.0,-0.00285668,0.0,0.0039659,0.00694322,0.01864467,0.0,0.0,0.00870016,0.04573125,0.02447697,0.01341989
"2025-01-06 03:00",-0.00020516,0.00037741,0.0016565,0.00369471,0.0,0.00476615,0.0,0.00036531,-0.0041327,0.00170026,0.0,0.0,0.00172763,0.01263409,0.02203105,0.00122461
"2025-01-06 04:00",0.00366356,-0.00009402,-0.00571341,0.00696874,0.0,0.00073537,0.0,0.00156689,0.00007734,0.00728304,0.0,0.0,0.00119447,0.00982298,-0.0016733,0.0052481
"2025-01-06 05:00",0.01147676,-0.00007665,0.00971602,0.01348388,0.0,0.00052878,0.0,0.00299421,0.00017575,0.01383836,0.0,0.0,-0.00138181,0.01567598,-0.00181264,0.07638784
